"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.539760000E0,6.076373905E-2,8.950048685E-2,1.809140801E0,1.812372205E0
2.549800000E0,5.425140634E-2,1.085875183E-1,1.800637007E0,1.804723828E0
2.559840000E0,5.482611805E-2,1.005967036E-1,1.792011499E0,1.795670018E0
2.569881000E0,5.260407552E-2,9.829203784E-2,1.791754842E0,1.795219743E0
2.579921000E0,3.831594810E-2,1.064809933E-1,1.788466334E0,1.792043008E0
2.589961000E0,3.267060220E-2,1.049391106E-1,1.787236214E0,1.790612428E0
2.600002000E0,1.920646057E-2,1.095224097E-1,1.781421304E0,1.784888206E0
2.610042000E0,1.420482062E-2,1.201396808E-1,1.777923107E0,1.782034201E0
2.620082000E0,7.003100589E-3,1.360371560E-1,1.773725748E0,1.778948617E0
2.630122000E0,2.838972025E-3,1.454176009E-1,1.770147681E0,1.776112933E0
2.640171375E0,1.147066243E-3,1.251275092E-1,1.767845631E0,1.772268711E0
2.650211375E0,-3.793310374E-3,1.011902690E-1,1.777070999E0,1.779953706E0
2.660251375E0,-6.539828144E-3,9.991966933E-2,1.775903583E0,1.778724331E0
2.670292375E0,-1.554760151E-3,1.016370356E-1,1.768751740E0,1.771670179E0
2.680332375E0,-1.944173127E-4,9.922447801E-2,1.762243867E0,1.765035122E0
2.690372375E0,2.653582953E-3,1.000335664E-1,1.758696795E0,1.761541419E0
2.700382375E0,3.348668106E-3,1.062123701E-1,1.756880522E0,1.760091318E0
2.710422375E0,-6.350101903E-4,9.865126759E-2,1.755494595E0,1.758264413E0
2.720463375E0,-1.652982086E-2,7.350649685E-2,1.760202527E0,1.761814229E0
2.730503375E0,-2.758503146E-2,6.220361590E-2,1.766672134E0,1.767982085E0
2.740543375E0,-3.269563615E-2,6.985621154E-2,1.767640471E0,1.769322393E0
2.750583375E0,-3.988786787E-2,6.868696213E-2,1.762781858E0,1.764570435E0
2.760624375E0,-4.603604227E-2,6.112704426E-2,1.770430684E0,1.772083700E0
2.770664375E0,-4.914182797E-2,5.940691754E-2,1.781180143E0,1.782847948E0
2.780704375E0,-4.804886505E-2,5.603163317E-2,1.792223573E0,1.793742895E0
2.790744375E0,-4.567890614E-2,5.577434227E-2,1.805964708E0,1.807403073E0
2.800785375E0,-3.836693242E-2,5.665319040E-2,1.824815154E0,1.826097465E0
2.810825375E0,-3.565164283E-2,5.380225927E-2,1.841586351E0,1.842717019E0
2.820865375E0,-3.388915956E-2,4.795981199E-2,1.860158682E0,1.861085420E0
2.830906375E0,-3.411021829E-2,4.651869833E-2,1.878481746E0,1.879367225E0
2.840946375E0,-4.521293938E-2,4.236496240E-2,1.901348472E0,1.902357750E0
2.850986375E0,-5.268755555E-2,3.371725976E-2,1.923981309E0,1.924997899E0
2.860996375E0,-5.680533499E-2,3.340407088E-2,1.944473624E0,1.945589976E0
2.871036375E0,-5.393198878E-2,2.534300275E-2,1.967855096E0,1.968757122E0
2.881077375E0,-4.812336713E-2,2.028193139E-2,1.987576962E0,1.988262908E0
2.891117375E0,-3.885393590E-2,2.160844952E-2,2.004087448E0,2.004580518E0
2.901157375E0,-2.678475529E-2,2.190592512E-2,2.020528793E0,2.020825054E0
2.911197375E0,-1.718016528E-2,3.162775189E-2,2.035105944E0,2.035424200E0
2.921238375E0,-1.191349700E-2,3.866302595E-2,2.053243876E0,2.053642416E0
2.931278375E0,-7.936657406E-3,5.206239969E-2,2.071239233E0,2.071908648E0
2.941318375E0,-2.565593459E-3,6.511855125E-2,2.089536428E0,2.090552437E0
2.951359375E0,-5.138149485E-3,6.169937178E-2,2.108677864E0,2.109586582E0
2.961399375E0,6.821307819E-3,6.969711185E-2,2.132723570E0,2.133873015E0
