"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.601763833E0,2.705011845E0,3.179086208E0,-1.042757273E0,4.302443600E0
2.611731833E0,3.140265465E0,3.184755564E0,-6.975203156E-1,4.526640010E0
2.621699833E0,3.610314846E0,3.299099922E0,-3.498068452E-1,4.903141688E0
2.631668833E0,4.058372021E0,3.408335447E0,-7.548340410E-2,5.300267137E0
2.641636833E0,4.452082157E0,3.368931532E0,1.196125820E-1,5.584356934E0
2.651605833E0,4.798286438E0,3.002505302E0,2.249266058E-1,5.664731486E0
2.661573833E0,5.113109589E0,2.390045166E0,2.708298862E-1,5.650624248E0
2.671542833E0,5.400728703E0,1.906630993E0,3.076059222E-1,5.735654598E0
2.681510833E0,5.691944122E0,1.598028779E0,3.957269788E-1,5.925244612E0
2.691479833E0,5.954609871E0,1.421140671E0,5.850219727E-1,6.149737411E0
2.701447833E0,6.160693169E0,1.381460428E0,8.430881500E-1,6.369722982E0
2.711415833E0,6.282153130E0,1.335185051E0,1.134298921E0,6.521870982E0
2.721384833E0,6.293812275E0,1.116696715E0,1.482775927E0,6.561837315E0
2.731352833E0,6.179190636E0,8.652285337E-1,1.877610445E0,6.515860520E0
2.741321833E0,6.026934147E0,8.633800149E-1,2.314434052E0,6.513521723E0
2.751289833E0,5.886434555E0,7.816572785E-1,2.779132366E0,6.556270020E0
2.761258833E0,5.666093349E0,6.075030565E-1,3.182863712E0,6.527196582E0
2.771226833E0,5.379430771E0,5.854080915E-1,3.449759960E0,6.417306431E0
2.781195833E0,5.081728935E0,6.818760633E-1,3.500877857E0,6.208467581E0
2.791163833E0,4.786030769E0,8.140063286E-1,3.330131531E0,5.887144710E0
2.801131833E0,4.482263088E0,9.227234721E-1,2.986542463E0,5.464571061E0
2.811100833E0,4.132038593E0,9.110202789E-1,2.601559162E0,4.967072675E0
2.821068833E0,3.700191498E0,9.904850125E-1,2.358355522E0,4.498257268E0
2.831037833E0,3.164156199E0,1.287949085E0,2.348517179E0,4.145627846E0
2.841005833E0,2.591174126E0,1.267551899E0,2.558542013E0,3.855775979E0
2.850974833E0,2.023798466E0,1.200990081E0,2.788300514E0,3.648665121E0
2.860942833E0,1.497428179E0,1.215934157E0,3.026940584E0,3.589311400E0
2.870911833E0,1.035818458E0,1.111294746E0,3.322627544E0,3.653457224E0
2.880879833E0,6.595124006E-1,1.047592282E0,3.648000002E0,3.852312320E0
2.890847833E0,3.772340119E-1,1.028746486E0,3.971632004E0,4.120010389E0
2.900816833E0,1.390347630E-1,1.004747987E0,4.345185757E0,4.462004980E0
2.910784833E0,-9.543135017E-2,9.981948733E-1,4.760025024E0,4.864497752E0
2.920753833E0,-3.772321343E-1,1.046651244E0,5.194749355E0,5.312551531E0
2.930721833E0,-7.015989423E-1,1.112831473E0,5.599408627E0,5.751870299E0
2.940690833E0,-1.008357286E0,1.206442118E0,5.913890362E0,6.119345244E0
2.950658833E0,-1.260419607E0,1.270421505E0,6.092068672E0,6.349482585E0
2.960627833E0,-1.465683341E0,1.186684728E0,6.113239288E0,6.397510680E0
2.970595833E0,-1.642838478E0,1.033161521E0,5.964454651E0,6.272245234E0
2.980564833E0,-1.795186758E0,8.746652603E-1,5.702613354E0,6.042146463E0
2.990532833E0,-1.906522036E0,7.416039109E-1,5.391455173E0,5.766506006E0
3.000500833E0,-1.956627250E0,6.264203787E-1,5.099630356E0,5.497910735E0
