"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.047932000E0,1.772969246E0,-1.262289762E0,4.535201073E0,5.030392048E0
2.057972000E0,1.861379981E0,-1.729720592E0,4.617824554E0,5.270765825E0
2.068012000E0,1.702111483E0,-2.023147821E0,4.293703556E0,5.042439968E0
2.078053000E0,1.587047696E0,-2.009162188E0,4.355453491E0,5.052269609E0
2.088093000E0,1.551213026E0,-2.144690990E0,4.265937805E0,5.020377143E0
2.098133000E0,1.448954701E0,-2.164461374E0,4.268225670E0,5.000211309E0
2.108174000E0,1.369359136E0,-2.188962698E0,4.266651630E0,4.987085148E0
2.118183000E0,1.281435847E0,-2.189685822E0,4.235178471E0,4.936956401E0
2.128224000E0,1.129682541E0,-2.133174896E0,4.163008213E0,4.812198579E0
2.138264000E0,1.082482815E0,-2.182080269E0,4.132245541E0,4.796738116E0
2.148304000E0,8.670077920E-1,-2.070478201E0,4.087028027E0,4.662872568E0
2.158344000E0,6.749147177E-1,-1.987280965E0,4.179949284E0,4.677261113E0
2.168385000E0,5.889231563E-1,-2.049157619E0,4.276600361E0,4.778617800E0
2.178425000E0,4.835992754E-1,-1.976776004E0,4.278703690E0,4.738018245E0
2.188465000E0,3.782939017E-1,-1.904956937E0,4.245691299E0,4.668818032E0
2.198506000E0,2.899511755E-1,-1.886597633E0,4.170008183E0,4.586097530E0
2.208546000E0,3.019247651E-1,-1.920937300E0,4.154307842E0,4.586876096E0
2.218586000E0,3.035189807E-1,-2.028012276E0,4.061816692E0,4.550089274E0
2.228626000E0,2.470077723E-1,-2.072987318E0,3.966766119E0,4.482579916E0
2.238667000E0,1.922622770E-1,-2.118330240E0,3.966480017E0,4.500805652E0
2.248707000E0,-1.691303775E-2,-2.082670450E0,4.009397984E0,4.518083050E0
2.258747000E0,-1.971131414E-1,-2.084909678E0,4.053849220E0,4.562827572E0
2.268785250E0,-3.913435936E-1,-2.069831371E0,4.161015511E0,4.663839812E0
2.278825250E0,-5.653049946E-1,-2.192979813E0,4.094046116E0,4.678669020E0
2.288865250E0,-7.336639166E-1,-2.346578360E0,3.928537846E0,4.634447361E0
2.298905250E0,-8.489346504E-1,-2.509541512E0,3.590842962E0,4.462358325E0
2.308946250E0,-9.119378328E-1,-2.609034538E0,3.578853607E0,4.521823191E0
2.318986250E0,-9.254909754E-1,-2.586196661E0,3.554347992E0,4.492030316E0
2.328996250E0,-8.616209030E-1,-2.569713593E0,3.557687044E0,4.472466393E0
2.339036250E0,-7.464748025E-1,-2.548236370E0,3.584632874E0,4.460978151E0
2.349076250E0,-6.109971404E-1,-2.424434185E0,3.627662659E0,4.405806962E0
2.359117250E0,-4.345433414E-1,-1.999953747E0,3.706000566E0,4.233566239E0
2.369157250E0,-3.891164958E-1,-1.888784289E0,3.709532499E0,4.180855068E0
2.379197250E0,-6.668141484E-1,-1.816783667E0,3.894340515E0,4.348704640E0
2.389237250E0,-8.296635151E-1,-1.884080529E0,3.969802141E0,4.471848614E0
2.399278250E0,-9.554826617E-1,-1.776075363E0,3.945654392E0,4.431205185E0
2.409318250E0,-1.000086904E0,-1.721747160E0,3.889575005E0,4.369597329E0
2.419358250E0,-1.023054481E0,-1.736285210E0,3.873425245E0,4.366319953E0
2.429399250E0,-1.145342231E0,-1.540545464E0,3.984192848E0,4.422542459E0
2.439439250E0,-1.234950662E0,-1.565873504E0,4.088268280E0,4.548736143E0
2.449479250E0,-1.311163902E0,-1.428178191E0,4.085947514E0,4.522588950E0
2.459519250E0,-1.405192494E0,-1.277677655E0,4.069172382E0,4.490566781E0
2.469560250E0,-1.516995788E0,-1.177991033E0,4.065788746E0,4.496618420E0
2.479600250E0,-1.668959022E0,-9.919861555E-1,3.934973478E0,4.387878419E0
2.489640250E0,-1.587921381E0,-9.991160035E-1,3.995225906E0,4.413791697E0
2.499681250E0,-1.535968900E0,-9.630905986E-1,3.993283272E0,4.385550735E0
2.509721250E0,-1.490350485E0,-9.316157699E-1,3.994002819E0,4.363612154E0
2.519761250E0,-1.524564862E0,-9.590392113E-1,3.929135084E0,4.322286055E0
2.529771250E0,-1.564863205E0,-9.136251211E-1,3.915037394E0,4.314049780E0
2.539811250E0,-1.773969889E0,-8.130946159E-1,4.061511517E0,4.505992434E0
2.549851250E0,-1.699491978E0,-7.510765195E-1,4.057137012E0,4.462370408E0
2.559892250E0,-1.667216182E0,-6.584111452E-1,4.034690380E0,4.414956568E0
2.569932250E0,-1.666168928E0,-5.068144798E-1,4.006134510E0,4.368305567E0
2.579972250E0,-1.590735674E0,-3.902857602E-1,3.914874315E0,4.243701670E0
2.590013250E0,-1.669844866E0,-2.765147388E-1,3.919163704E0,4.269038114E0
2.600053250E0,-1.765974164E0,-1.657555550E-1,3.925688744E0,4.307803589E0
2.610093250E0,-1.909467936E0,-2.333500534E-1,3.886929035E0,4.336904123E0
2.620133250E0,-2.135753393E0,-2.804953158E-1,3.807374239E0,4.374496402E0
2.630174250E0,-2.253036261E0,-3.033228815E-1,3.682091713E0,4.327352140E0
2.640214250E0,-1.991421819E0,1.124695092E-1,3.777580738E0,4.271829407E0
2.650254250E0,-2.105349779E0,-1.440967768E-1,3.906354427E0,4.439917396E0
2.660295250E0,-2.117391348E0,-1.387075633E-1,3.879140139E0,4.421573716E0
2.670335250E0,-2.224620342E0,3.567356616E-2,3.864242077E0,4.458988125E0
2.680375250E0,-2.267753601E0,1.465300471E-1,3.715378761E0,4.355251633E0
2.690415250E0,-2.180197001E0,1.109435633E-1,3.736086369E0,4.327113217E0
2.700456250E0,-2.225643635E0,2.225047052E-1,3.704978466E0,4.327801216E0
2.710496250E0,-2.288991213E0,3.371665776E-1,3.674733639E0,4.342445093E0
2.720536250E0,-2.319240332E0,2.467803508E-1,3.630218744E0,4.314888688E0
2.730577250E0,-2.165523767E0,6.190982461E-1,3.720057249E0,4.348747149E0
2.740586250E0,-2.206113338E0,6.037664413E-1,3.655574799E0,4.312156895E0
2.750627250E0,-2.055257559E0,5.886099935E-1,3.651738882E0,4.231517721E0
2.760667250E0,-1.912328482E0,7.432155013E-1,3.654396296E0,4.190940442E0
2.770707250E0,-1.737249613E0,9.273973107E-1,3.681287050E0,4.174922315E0
2.780747250E0,-1.713813186E0,9.873525500E-1,3.638172388E0,4.141052888E0
2.790788250E0,-1.528620839E0,1.155743718E0,3.664814234E0,4.135612238E0
2.800828250E0,-1.512729168E0,1.038035274E0,3.649114132E0,4.084348260E0
2.810868250E0,-1.665469050E0,1.168975592E0,3.726056814E0,4.245443496E0
2.820909250E0,-1.773946881E0,1.289087653E0,3.809944630E0,4.395942743E0
2.830949250E0,-1.859914541E0,1.483832359E0,3.791606665E0,4.476306700E0
2.840989250E0,-1.659265518E0,1.536581635E0,3.990595341E0,4.586839474E0
2.851029250E0,-1.681243539E0,1.622709155E0,4.020688057E0,4.650343782E0
2.861070250E0,-1.756830454E0,1.944319129E0,4.166261196E0,4.921845434E0
2.871110250E0,-1.780522346E0,2.184116840E0,4.177741051E0,5.039260510E0
2.881150250E0,-1.721200943E0,2.301252842E0,4.227900982E0,5.112088031E0
2.891191250E0,-1.593107939E0,2.404722452E0,3.979386806E0,4.914895964E0
2.901231250E0,-1.478660941E0,2.452719927E0,4.276671886E0,5.147056988E0
2.911271250E0,-1.521507621E0,2.713417768E0,4.239189625E0,5.258169843E0
2.921311250E0,-1.540674925E0,2.763172388E0,4.041059017E0,5.132149535E0
2.931352250E0,-1.519557953E0,2.740348101E0,3.746058464E0,4.883801603E0
2.941392250E0,-1.553704500E0,2.758786201E0,3.949594259E0,5.062034551E0
2.951402250E0,-1.536789417E0,2.782264471E0,3.985335588E0,5.097608954E0
2.961442250E0,-1.392833114E0,2.855134964E0,4.032392979E0,5.133417271E0
2.971482250E0,-1.169455647E0,2.927153111E0,4.075740337E0,5.152427694E0
2.981523250E0,-9.136599302E-1,2.894284725E0,4.165401459E0,5.153855630E0
2.991563250E0,-6.874811053E-1,2.922378302E0,4.633255959E0,5.520868228E0
3.001603250E0,-4.885852039E-1,3.038064003E0,4.608413219E0,5.541301362E0
3.011643250E0,-4.076184630E-1,3.208814621E0,4.556644917E0,5.587992214E0
3.021684250E0,-4.830281734E-1,3.250194311E0,4.166039467E0,5.305936686E0
3.031724250E0,-3.750647008E-1,2.915654898E0,4.150350571E0,5.085973542E0
3.041764250E0,-3.826007843E-1,3.035001278E0,4.212682247E0,5.206179773E0
3.051805250E0,2.138849720E-2,2.710260153E0,4.425414085E0,5.189437098E0
3.061845250E0,1.166223809E-1,3.146535158E0,4.468737602E0,5.466616873E0
3.071885250E0,3.323820829E-1,3.037803173E0,4.411479473E0,5.366551696E0
3.081925250E0,4.288320243E-1,3.090710878E0,4.608024120E0,5.565094512E0
3.091966250E0,5.568504333E-1,2.946393490E0,4.606011391E0,5.496058400E0
3.102006250E0,6.546142101E-1,2.827588320E0,4.513330936E0,5.365997728E0
3.112046250E0,7.086631060E-1,2.742127657E0,4.329637527E0,5.173705500E0
3.122087250E0,8.066652417E-1,2.511427402E0,4.205169201E0,4.964012935E0
3.132127250E0,8.186321259E-1,2.670259237E0,4.175035477E0,5.023083135E0
3.142167250E0,1.001838684E0,2.549506426E0,4.169682503E0,4.988979449E0
3.152177250E0,1.048385143E0,2.605194569E0,4.177750587E0,5.033860360E0
3.162217250E0,1.272848129E0,2.289236546E0,4.466932774E0,5.178246298E0
3.172258250E0,1.348547697E0,2.468013048E0,4.517087460E0,5.321066473E0
3.182298250E0,1.547141910E0,2.159622431E0,4.466445446E0,5.196802099E0
3.192338250E0,1.472060204E0,2.249857903E0,4.405641556E0,5.161249785E0
3.202378250E0,1.527049184E0,1.997264981E0,4.111598492E0,4.819355639E0
3.212419250E0,1.600222111E0,2.162569284E0,4.101786137E0,4.905310003E0
3.222459250E0,1.594218612E0,2.182073116E0,4.061976433E0,4.878793766E0
3.232499250E0,1.736564755E0,2.060492277E0,4.060598373E0,4.873370982E0
3.242539250E0,1.799839854E0,2.016619444E0,4.064269066E0,4.881030682E0
3.252580250E0,1.930752397E0,1.757891417E0,4.322322369E0,5.049797789E0
3.262620250E0,2.156140089E0,1.822200894E0,4.373731136E0,5.205658482E0
3.272660250E0,2.428375721E0,1.592444181E0,4.380934715E0,5.255994301E0
